DISTRITO_LOCAL,CLAVE_DEM,DEMARCACIÓN TERRITORIAL,SECCIÓN,TOTAL DE CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,MORENA,ELIGE,PES,RSP,FXM,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,ROP,HAAC,PRMC,ECR,EVFA,AGP,RGS,CNR,VN,VOTACIÓN TOTAL,LISTA NOMINAL
33,8,LA MAGDALENA CONTRERAS,3112,2,73,106,14,14,15,19,183,3,11,14,10,6,0,0,0,1,0,0,1,,,,,,,,5,12,487,864
33,8,LA MAGDALENA CONTRERAS,3113,2,42,126,6,7,20,13,230,4,22,8,11,7,0,0,0,1,0,0,1,,,,,,,,0,21,519,918
33,8,LA MAGDALENA CONTRERAS,3114,2,48,185,16,13,11,23,268,5,27,2,18,5,1,0,3,0,0,0,6,,,,,,,,0,10,641,1360
33,8,LA MAGDALENA CONTRERAS,3115,2,39,146,3,6,6,15,187,3,7,6,7,3,1,0,0,0,0,0,4,,,,,,,,2,13,448,840
33,8,LA MAGDALENA CONTRERAS,3116,2,154,227,13,5,12,15,208,4,6,1,33,7,2,0,0,5,0,0,0,,,,,,,,0,13,705,1133
33,8,LA MAGDALENA CONTRERAS,3117,2,91,182,16,20,21,19,377,11,19,7,17,4,4,0,0,0,0,0,3,,,,,,,,2,37,830,1452
33,8,LA MAGDALENA CONTRERAS,3118,5,77,497,28,29,48,44,645,12,58,15,31,17,0,0,4,10,4,1,8,,,,,,,,1,58,1587,3383
33,8,LA MAGDALENA CONTRERAS,5557,2,46,120,13,15,27,20,357,2,8,3,38,5,3,1,0,0,0,0,3,,,,,,,,1,35,697,1457
33,8,LA MAGDALENA CONTRERAS,5558,2,35,103,11,5,17,8,241,2,8,1,12,1,2,0,1,0,0,2,4,,,,,,,,0,22,475,1332
33,8,LA MAGDALENA CONTRERAS,5559,3,40,125,13,19,12,15,335,3,9,4,12,8,5,1,1,6,2,1,6,,,,,,,,0,31,648,1538
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
